Node, run , hit , miss , und , Acc , Filtro 
3 ,23 ,448.0 ,39.0 ,43.0 ,0.330039456884 ,0.25
1 ,24 ,431.0 ,86.0 ,13.0 ,0.316534430745 ,0.25
2 ,24 ,396.0 ,69.0 ,65.0 ,0.296397774421 ,0.25
3 ,24 ,429.0 ,46.0 ,55.0 ,0.295237895162 ,0.25
1 ,25 ,427.0 ,92.0 ,11.0 ,0.304603015226 ,0.25
2 ,25 ,395.0 ,81.0 ,54.0 ,0.301023782289 ,0.25
3 ,25 ,398.0 ,55.0 ,77.0 ,0.331857671487 ,0.25
1 ,26 ,409.0 ,104.0 ,17.0 ,0.300022262718 ,0.25
2 ,26 ,416.0 ,66.0 ,48.0 ,0.303170653073 ,0.25
3 ,26 ,431.0 ,45.0 ,54.0 ,0.311273881434 ,0.25
1 ,27 ,411.0 ,104.0 ,15.0 ,0.306831436876 ,0.25
2 ,27 ,442.0 ,46.0 ,42.0 ,0.290157496628 ,0.25
3 ,27 ,403.0 ,62.0 ,65.0 ,0.327290642575 ,0.25
1 ,28 ,425.0 ,84.0 ,21.0 ,0.324010652139 ,0.25
2 ,28 ,404.0 ,62.0 ,64.0 ,0.295107920613 ,0.25
3 ,28 ,428.0 ,48.0 ,54.0 ,0.324491240249 ,0.25
1 ,29 ,423.0 ,89.0 ,18.0 ,0.302414495959 ,0.25
2 ,29 ,437.0 ,37.0 ,56.0 ,0.307431744711 ,0.25
3 ,29 ,386.0 ,67.0 ,77.0 ,0.318013498882 ,0.25
1 ,30 ,410.0 ,96.0 ,24.0 ,0.323593997105 ,0.33
2 ,30 ,377.0 ,66.0 ,87.0 ,0.30895610417 ,0.33
3 ,30 ,398.0 ,45.0 ,87.0 ,0.332576165357 ,0.33
1 ,31 ,426.0 ,86.0 ,18.0 ,0.311899107512 ,0.33
2 ,31 ,381.0 ,48.0 ,101.0 ,0.319629882694 ,0.33
3 ,31 ,383.0 ,59.0 ,88.0 ,0.305278136883 ,0.33
1 ,32 ,432.0 ,79.0 ,19.0 ,0.328672757853 ,0.33
2 ,32 ,396.0 ,56.0 ,78.0 ,0.322085495123 ,0.33
